No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
8190,2014,2,5,5,142,154,52,66,3100,1,-6.2,1022.9,-21,0,NE,1.9,Aotizhongxin
8191,2014,2,5,6,114,122,55,59,2600,1,-6.3,1023.5,-20.7,0,NNE,1.2,Aotizhongxin
8192,2014,2,5,7,92,96,50,55,2200,1,-6,1023.5,-20.8,0,ENE,2.1,Aotizhongxin
8193,2014,2,5,8,65,63,51,52,1800,1,-5.1,1024.2,-20.8,0,ENE,1.1,Aotizhongxin
8194,2014,2,5,9,59,65,60,51,1800,1,-3.5,1024.4,-21.7,0,NE,1.3,Aotizhongxin
8195,2014,2,5,10,64,70,81,49,1700,5,-2.2,1024,-21.6,0,NNE,1.6,Aotizhongxin
8196,2014,2,5,11,76,88,87,47,1800,11,-0.7,1022.8,-16.6,0,N,1.2,Aotizhongxin
8197,2014,2,5,12,86,110,79,53,1900,12,0.2,1021.4,-10.6,0,SSW,2.1,Aotizhongxin
8198,2014,2,5,13,77,126,55,43,1300,27,0.8,1020.5,-9.5,0,WSW,2.7,Aotizhongxin
8199,2014,2,5,14,84,97,50,30,1100,42,0.6,1021,-9.2,0,SSW,2.4,Aotizhongxin
8200,2014,2,5,15,94,106,57,30,1100,46,0.7,1021,-9.3,0,SW,2.1,Aotizhongxin
8201,2014,2,5,16,94,101,60,32,1000,46,0.2,1021.1,-9.8,0,SW,1,Aotizhongxin
8202,2014,2,5,17,87,88,63,34,900,45,0,1021.2,-10.5,0,SW,1.9,Aotizhongxin
8203,2014,2,5,18,83,92,67,41,900,38,-0.8,1021.7,-10.7,0,WSW,1.1,Aotizhongxin
8204,2014,2,5,19,86,88,67,46,900,33,-0.8,1021.9,-10.7,0,SW,2,Aotizhongxin
8205,2014,2,5,20,79,80,61,47,1000,30,-2.6,1022.2,-10.6,0,SW,1.1,Aotizhongxin
8206,2014,2,5,21,78,86,54,48,1000,29,-3.7,1022.6,-10.1,0,SSE,0.1,Aotizhongxin
8207,2014,2,5,22,140,158,65,58,1200,13,-4.4,1022.7,-8.9,0,N,0.2,Aotizhongxin
8208,2014,2,5,23,108,117,59,62,1200,5,-2.8,1022.7,-9.5,0,NE,1.3,Aotizhongxin
8209,2014,2,6,0,120,117,61,69,1700,1,-3.1,1022.5,-9.4,0,NE,1.4,Aotizhongxin
8210,2014,2,6,1,167,172,72,82,3500,1,-3.6,1022.5,-9.6,0,NE,1.2,Aotizhongxin
8211,2014,2,6,2,161,161,59,77,3000,1,-3.9,1023,-9.9,0,NE,1.6,Aotizhongxin
8212,2014,2,6,3,154,155,51,73,2600,1,-4.2,1023,-10,0,NE,1.1,Aotizhongxin
8213,2014,2,6,4,148,151,46,69,2500,1,-4.5,1022.9,-9.9,0,NE,1.8,Aotizhongxin
8214,2014,2,6,5,141,139,55,65,2400,1,-4.1,1023.8,-10.1,0,NE,1.6,Aotizhongxin
8215,2014,2,6,6,126,119,52,60,1900,1,-3.8,1023.9,-9.8,0,ENE,1.4,Aotizhongxin
8216,2014,2,6,7,119,113,55,60,1900,1,-3.8,1024.9,-10.2,0,NE,0.9,Aotizhongxin
8217,2014,2,6,8,116,113,61,61,2100,1,-3.2,1025.4,-10.1,0,NE,1.5,Aotizhongxin
8218,2014,2,6,9,119,123,67,59,2100,1,-2.2,1025.7,-9.8,0,NNE,1.5,Aotizhongxin
8219,2014,2,6,10,126,126,77,57,2200,2,-1.3,1025.1,-10.7,0,NNE,1.5,Aotizhongxin
8220,2014,2,6,11,112,104,91,58,1800,7,-0.2,1024.2,-11.3,0,NE,1.7,Aotizhongxin
8221,2014,2,6,12,124,109,96,60,1900,11,0.6,1023.1,-11.2,0,NNW,1.8,Aotizhongxin
8222,2014,2,6,13,128,118,91,67,1900,12,1.8,1022.8,-10.7,0,SW,1,Aotizhongxin
8223,2014,2,6,14,110,99,88,68,1700,17,1.5,1023.3,-12,0,W,0.6,Aotizhongxin
8224,2014,2,6,15,113,105,82,68,1600,21,1.2,1023.6,-11.6,0,WSW,2.6,Aotizhongxin
8225,2014,2,6,16,99,91,76,68,1500,22,0.8,1023.2,-12.6,0,SW,1.3,Aotizhongxin
8226,2014,2,6,17,90,84,69,55,1400,38,0,1023.2,-12,0,SSW,0.5,Aotizhongxin
8227,2014,2,6,18,87,83,66,60,1300,30,-0.4,1023.3,-11.5,0,SSW,0.7,Aotizhongxin
8228,2014,2,6,19,92,84,68,59,1400,30,0,1023.6,-11.1,0,SW,1.1,Aotizhongxin
8229,2014,2,6,20,100,102,68,60,1600,26,0.2,1024.2,-10.6,0,S,1.3,Aotizhongxin
8230,2014,2,6,21,112,117,73,61,2000,21,0.1,1024.7,-8.9,0,S,2.4,Aotizhongxin
8231,2014,2,6,22,128,157,92,74,2500,10,-0.5,1024.7,-6.5,0,WSW,1.7,Aotizhongxin
8232,2014,2,6,23,84,88,43,59,1500,9,-0.8,1024.6,-5.2,0,SW,2.4,Aotizhongxin
8233,2014,2,7,0,77,57,41,48,1300,16,-1,1024.2,-5.2,0,SSW,1.3,Aotizhongxin
8234,2014,2,7,1,74,55,35,40,1200,20,-1.3,1024.1,-5.2,0,SSE,1.3,Aotizhongxin
8235,2014,2,7,2,64,41,39,44,1200,22,-1.4,1023.3,-4.9,0,S,1.4,Aotizhongxin
8236,2014,2,7,3,68,43,46,41,1200,22,-1.3,1022.7,-5.2,0,S,1,Aotizhongxin
8237,2014,2,7,4,82,68,43,52,1400,6,-1.5,1022.4,-5,0,S,1.4,Aotizhongxin
8238,2014,2,7,5,91,70,55,54,1300,4,-2.5,1022.2,-4.7,0.1,S,1.2,Aotizhongxin
8239,2014,2,7,6,96,86,54,57,1400,2,-3,1022.7,-4.6,0.3,S,1.5,Aotizhongxin
8240,2014,2,7,7,90,85,32,53,1300,6,-3.5,1022.7,-4.9,0.4,SSE,2,Aotizhongxin
8241,2014,2,7,8,86,65,27,57,1600,3,-3.5,1022.6,-5.2,0.2,SSW,1.1,Aotizhongxin
8242,2014,2,7,9,88,63,30,55,1500,5,-3.3,1022.7,-4.6,0.9,S,1,Aotizhongxin
8243,2014,2,7,10,89,72,29,52,1500,8,-2.7,1022.2,-4.4,0.6,S,1.1,Aotizhongxin
8244,2014,2,7,11,92,68,30,52,1500,8,-2.4,1021.2,-4.7,0.4,SSE,1.4,Aotizhongxin
8245,2014,2,7,12,96,62,32,46,1400,16,-2.5,1020.1,-5,0.1,S,2,Aotizhongxin
8246,2014,2,7,13,81,44,30,43,1000,26,-2.4,1019.2,-4.6,0.2,ESE,0.9,Aotizhongxin
8247,2014,2,7,14,75,43,26,45,1000,26,-2.2,1018.6,-4.4,0.1,SSE,0.8,Aotizhongxin
8248,2014,2,7,15,77,41,29,42,1000,33,-2.5,1018.3,-4.2,0.1,S,0.9,Aotizhongxin
8249,2014,2,7,16,79,55,27,47,1000,29,-2.8,1018.4,-4.2,0.1,SW,1.1,Aotizhongxin
8250,2014,2,7,17,84,64,23,54,1100,21,-2.8,1018.6,-3.8,0.3,WNW,0.9,Aotizhongxin
8251,2014,2,7,18,84,61,20,59,1200,16,-2.8,1018.5,-3.6,0.2,N,1.2,Aotizhongxin
8252,2014,2,7,19,89,63,24,68,1300,10,-3,1018.5,-4,0,NNW,1.4,Aotizhongxin
8253,2014,2,7,20,91,62,31,70,1300,4,-3.1,1018.6,-4.2,0,NNE,0.6,Aotizhongxin
8254,2014,2,7,21,92,68,33,69,1400,2,-3.2,1018.5,-4.3,0,N,0.7,Aotizhongxin
8255,2014,2,7,22,81,56,33,65,1300,3,-3.1,1018.6,-4.2,0.1,NNW,0.5,Aotizhongxin
8256,2014,2,7,23,79,55,31,61,1400,5,-3.1,1018.7,-4.1,0,E,0.9,Aotizhongxin
8257,2014,2,8,0,74,50,28,52,1300,13,-2.9,1018.6,-3.9,0.2,WSW,1.3,Aotizhongxin
8258,2014,2,8,1,73,48,23,46,1200,16,-3.3,1018.9,-4.1,0,N,1.3,Aotizhongxin
8259,2014,2,8,2,69,43,15,36,1100,15,-3.4,1019,-4.2,0.3,N,1.5,Aotizhongxin
8260,2014,2,8,3,92,66,14,44,1700,5,-3.5,1018.6,-4.3,0,ENE,1,Aotizhongxin
8261,2014,2,8,4,112,82,15,NA,1800,1,-4.1,1018.5,-4.9,0,NNE,1,Aotizhongxin
8262,2014,2,8,5,116,86,36,66,2300,1,-4,1018.5,-5,0,NNE,0.9,Aotizhongxin
8263,2014,2,8,6,121,96,30,62,2300,1,-4.4,1019.4,-5.4,0,ENE,1.1,Aotizhongxin
8264,2014,2,8,7,127,109,32,64,2300,1,-4.7,1020.3,-5.5,0,NE,0.2,Aotizhongxin
8265,2014,2,8,8,128,99,35,63,2100,1,-2.9,1020.9,-6.2,0,N,2.2,Aotizhongxin
8266,2014,2,8,9,135,114,53,58,2100,2,-0.3,1021.6,-10,0,NE,2.2,Aotizhongxin
8267,2014,2,8,10,98,41,53,48,1500,22,0.9,1021.6,-12.5,0,N,3.6,Aotizhongxin
8268,2014,2,8,11,29,6,25,20,600,50,0.7,1021,-13.4,0,N,5.2,Aotizhongxin
8269,2014,2,8,12,16,6,18,12,500,61,1.2,1021.1,-12.6,0,NNW,3,Aotizhongxin
8270,2014,2,8,13,14,6,17,12,500,62,1.3,1021,-13.2,0,NW,3.5,Aotizhongxin
8271,2014,2,8,14,14,6,17,12,500,NA,1.7,1021.2,-12.9,0,N,4,Aotizhongxin
8272,2014,2,8,15,13,6,NA,NA,NA,NA,1.2,1021.9,-13.3,0,NNW,2.9,Aotizhongxin
8273,2014,2,8,16,13,6,7,9,400,NA,-0.2,1022.6,-14.6,0,NNW,4.4,Aotizhongxin
8274,2014,2,8,17,3,6,NA,NA,NA,NA,-1.5,1023.6,-16.1,0,N,4.3,Aotizhongxin
8275,2014,2,8,18,3,6,4,12,300,66,-2.7,1025.5,-16.8,0,N,4.2,Aotizhongxin
8276,2014,2,8,19,6,6,5,14,400,63,-3.8,1027,-17.4,0,N,3.2,Aotizhongxin
8277,2014,2,8,20,5,8,7,13,400,64,-5.3,1028,-19.1,0,NE,2.3,Aotizhongxin
8278,2014,2,8,21,6,6,5,9,300,66,-6.1,1029.2,-19.5,0,NNE,2.6,Aotizhongxin
8279,2014,2,8,22,4,6,5,6,300,67,-6.6,1030,-19.2,0,NNE,3.4,Aotizhongxin
8280,2014,2,8,23,3,6,3,7,300,66,-7,1030.7,-19.9,0,N,3.9,Aotizhongxin
8281,2014,2,9,0,3,6,6,9,400,61,-7.6,1031,-19.5,0,N,2.9,Aotizhongxin
8282,2014,2,9,1,8,6,10,14,400,53,-8,1031.1,-19.6,0,N,4,Aotizhongxin
8283,2014,2,9,2,10,8,14,15,400,51,-8.5,1031.1,-19.4,0,NE,1.4,Aotizhongxin
8284,2014,2,9,3,8,6,13,10,400,57,-8.5,1031.4,-20,0,NNE,2.3,Aotizhongxin
8285,2014,2,9,4,5,6,11,9,400,57,-9,1031.5,-19.9,0,NE,1.6,Aotizhongxin
8286,2014,2,9,5,8,6,15,12,400,52,-8.9,1031.7,-19.5,0,N,2.7,Aotizhongxin
8287,2014,2,9,6,9,6,12,11,400,53,-9.3,1031.8,-19.3,0,NNE,2.1,Aotizhongxin
8288,2014,2,9,7,7,6,16,16,400,49,-8.9,1032,-19.5,0,NE,2.2,Aotizhongxin
8289,2014,2,9,8,7,11,24,19,500,46,-7.4,1032.2,-19.9,0,NE,3.5,Aotizhongxin
8290,2014,2,9,9,10,13,28,20,500,46,-5.8,1032.5,-19.9,0,N,3.4,Aotizhongxin
8291,2014,2,9,10,10,11,23,13,500,56,-4.1,1032.1,-20,0,NNE,3.2,Aotizhongxin
8292,2014,2,9,11,14,7,24,11,500,58,-3.3,1031.1,-20.1,0,N,3.9,Aotizhongxin
8293,2014,2,9,12,5,6,17,10,400,62,-2.5,1029.7,-19.4,0,NE,3.4,Aotizhongxin
8294,2014,2,9,13,9,6,12,9,400,64,-1.6,1028.8,-19.1,0,NNE,3.1,Aotizhongxin
8295,2014,2,9,14,10,8,10,9,400,66,-1,1028.3,-19.1,0,NNE,2.1,Aotizhongxin
8296,2014,2,9,15,3,7,12,10,400,67,-1,1028.2,-18.6,0,NNE,2.7,Aotizhongxin
8297,2014,2,9,16,9,7,15,12,400,66,-1.3,1028.2,-18.9,0,N,3.2,Aotizhongxin
8298,2014,2,9,17,5,6,8,13,400,65,-3.4,1028.7,-17,0,WNW,1.1,Aotizhongxin
8299,2014,2,9,18,9,12,9,16,400,61,-3.7,1029.5,-18.4,0,N,1.9,Aotizhongxin
8300,2014,2,9,19,15,16,13,27,600,48,-4.4,1029.8,-17.3,0,NNE,1.2,Aotizhongxin
8301,2014,2,9,20,12,16,16,26,600,47,-4.4,1030.4,-17.6,0,NNE,1.8,Aotizhongxin
8302,2014,2,9,21,8,18,21,26,600,45,-4.8,1030.8,-18,0,N,2,Aotizhongxin
8303,2014,2,9,22,14,25,35,33,600,36,-5.3,1031.3,-17.7,0,NNE,1.7,Aotizhongxin
8304,2014,2,9,23,17,17,27,32,600,37,-5.9,1031.5,-18.6,0,NE,2.4,Aotizhongxin
8305,2014,2,10,0,13,6,11,14,400,57,-6.6,1031.6,-18.6,0,NE,2,Aotizhongxin
8306,2014,2,10,1,5,6,10,11,400,59,-7.1,1031.8,-18.4,0,NE,1.8,Aotizhongxin
8307,2014,2,10,2,8,7,14,12,400,57,-7.5,1031.2,-18.8,0,NNE,1.9,Aotizhongxin
8308,2014,2,10,3,8,6,18,15,500,53,-8.7,1031.1,-17.8,0,N,0.7,Aotizhongxin
8309,2014,2,10,4,11,9,31,19,600,46,-10.3,1030.9,-17.8,0,NE,1.9,Aotizhongxin
8310,2014,2,10,5,12,10,32,30,700,34,-11.4,1031.2,-16.7,0,NNE,0.9,Aotizhongxin
8311,2014,2,10,6,8,6,13,19,500,46,-12.2,1031.3,-16.7,0,WSW,0.6,Aotizhongxin
8312,2014,2,10,7,8,6,6,27,500,37,-12.2,1031.7,-15.3,0,NNE,1.3,Aotizhongxin
8313,2014,2,10,8,12,15,15,40,600,25,-6.6,1032.1,-18.6,0,ENE,1.6,Aotizhongxin
8314,2014,2,10,9,8,15,18,36,600,31,-4.7,1032,-18.9,0,NE,1.6,Aotizhongxin
8315,2014,2,10,10,11,14,21,26,600,44,-3.5,1031.3,-17.9,0,ESE,1,Aotizhongxin
8316,2014,2,10,11,16,16,26,27,600,44,-2.5,1029.5,-18.1,0,N,0.8,Aotizhongxin
8317,2014,2,10,12,15,14,25,24,600,49,-2.1,1028.3,-17,0,WSW,2.4,Aotizhongxin
8318,2014,2,10,13,15,21,22,26,600,51,-1.7,1027.3,-17,0,SSE,1.5,Aotizhongxin
8319,2014,2,10,14,20,10,11,32,700,49,-1.2,1026.2,-15.8,0,SW,3.9,Aotizhongxin
8320,2014,2,10,15,24,17,13,39,700,48,-1.8,1025.8,-16.4,0,SW,4.1,Aotizhongxin
8321,2014,2,10,16,28,26,16,34,600,55,-2.8,1025.7,-15.5,0,SW,2.5,Aotizhongxin
8322,2014,2,10,17,25,20,13,31,600,58,-3.7,1025.9,-15.1,0,SW,2.2,Aotizhongxin
8323,2014,2,10,18,23,26,11,32,600,57,-4.2,1025.8,-14.9,0,WSW,2.5,Aotizhongxin
8324,2014,2,10,19,31,34,19,49,800,41,-5.1,1026.1,-13,0,WSW,1.6,Aotizhongxin
8325,2014,2,10,20,37,42,24,59,900,28,-7.5,1025.9,-13.5,0,WSW,1,Aotizhongxin
8326,2014,2,10,21,42,44,24,58,1000,26,-8.4,1025.9,-12.4,0,WNW,0.9,Aotizhongxin
8327,2014,2,10,22,53,55,27,64,1100,18,-9.2,1025.6,-12.8,0,W,0.7,Aotizhongxin
8328,2014,2,10,23,56,54,28,66,1100,18,-10,1025.3,-12.8,0,E,0,Aotizhongxin
8089,2014,2,1,0,105,124,69,41,1400,20,1.2,1009.4,-6.2,0,NW,0.6,Changping
8090,2014,2,1,1,118,130,61,42,1900,19,1.1,1009.4,-6.3,0,NW,0.3,Changping
8091,2014,2,1,2,141,158,70,54,2600,11,1.3,1009.1,-6.1,0,NNW,0.8,Changping
8092,2014,2,1,3,130,149,81,58,2400,11,1.2,1008.7,-5.5,0,NW,1.1,Changping
8093,2014,2,1,4,140,149,64,50,2300,9,1,1008.5,-4.6,0,N,0.6,Changping
